iter	Passed	Remaining
895	10074	1169
896	10085	1158
897	10096	1146
898	10106	1135
899	10116	1124
900	10128	1112
901	10139	1101
902	10149	1090
903	10159	1078
904	10169	1067
905	10179	1056
906	10189	1044
907	10199	1033
908	10209	1022
909	10218	1010
910	10228	999
911	10238	987
912	10248	976
913	10258	965
914	10267	953
915	10277	942
916	10287	931
917	10297	919
918	10306	908
919	10317	897
920	10328	885
921	10338	874
922	10349	863
923	10360	852
924	10370	840
925	10379	829
926	10389	818
927	10401	807
928	10411	795
929	10421	784
930	10431	773
931	10440	761
932	10450	750
933	10461	739
934	10472	728
935	10482	716
936	10492	705
937	10502	694
938	10512	682
939	10522	671
940	10532	660
941	10543	649
942	10552	637
943	10563	626
944	10572	615
945	10582	604
946	10591	592
947	10601	581
948	10611	570
949	10621	559
950	10631	547
951	10640	536
952	10650	525
953	10660	514
954	10674	503
955	10685	491
956	10694	480
957	10704	469
958	10714	458
959	10722	446
960	10738	435
961	10751	424
962	10761	413
963	10772	402
964	10782	391
965	10792	379
966	10804	368
967	10816	357
968	10826	346
969	10835	335
970	10846	323
971	10856	312
972	10867	301
973	10877	290
974	10889	279
975	10899	268
976	10909	256
977	10918	245
978	10928	234
979	10938	223
980	10949	212
981	10958	200
982	10969	189
983	10979	178
984	10989	167
985	10999	156
986	11008	144
987	11019	133
988	11029	122
989	11039	111
990	11050	100
991	11060	89
992	11069	78
993	11079	66
994	11092	55
995	11102	44
996	11112	33
997	11121	22
998	11129	11
999	11140	0
